lifestyle_variable;broad_category;category;label;broad_label
NA;Other_products_kr;pets.kr;Pets;Other Products
NA;Other_products_kr;pharmacy.kr;Pharmacy;Other Products
NA;Other_products_kr;shopping_other.kr;Shopping Other;Other Products
NA;Other_products_kr;sport_equip.kr;Sport Equip;Other Products
NA;Other_products_kr;toys.kr;Toys;Other Products
NA;Other_services_co2e;beauty.co2e;Beauty;Other Services
NA;Other_services_co2e;culture.co2e;Culture;Other Services
NA;Other_services_co2e;financial_service.co2e;Financial Service;Other Services
NA;Other_services_co2e;health.co2e;Health;Other Services
NA;Other_services_co2e;health_care.co2e;Health Care;Other Services
NA;Other_services_co2e;health_other.co2e;Health Other;Other Services
NA;Other_services_co2e;insurance.co2e;Insurance;Other Services
NA;Other_services_co2e;internet_tele.co2e;Internet Tele;Other Services
NA;Other_services_co2e;leisure_other.co2e;Leisure Other;Other Services
NA;Other_services_co2e;repair_rent.co2e;Repair Rent;Other Services
NA;Other_services_co2e;services.co2e;Services;Other Services
NA;Other_services_co2e;sports.co2e;Sports;Other Services
NA;Other_services_kr;beauty.kr;Beauty;Other Services
NA;Other_services_kr;culture.kr;Culture;Other Services
NA;Other_services_kr;financial_service.kr;Financial Service;Other Services
NA;Other_services_kr;health.kr;Health;Other Services
NA;Other_services_kr;health_care.kr;Health Care;Other Services
NA;Other_services_kr;health_other.kr;Health Other;Other Services
NA;Other_services_kr;insurance.kr;Insurance;Other Services
NA;Other_services_kr;internet_tele.kr;Internet Tele;Other Services
NA;Other_services_kr;leisure_other.kr;Leisure Other;Other Services
NA;Other_services_kr;repair_rent.kr;Repair Rent;Other Services
NA;Other_services_kr;services.kr;Services;Other Services
NA;Other_services_kr;sports.kr;Sports;Other Services
NA;savings.co2e;savings.co2e;Savings;Savings
NA;savings.kr;savings.kr;Savings;Savings
NA;Vacation_LDT_co2e;ferry.co2e;Ferry;Vacation
NA;Vacation_LDT_co2e;train_bus.co2e;Train Bus;Vacation
NA;Vacation_LDT_co2e;travel.co2e;Travel;Vacation
NA;Vacation_LDT_kr;ferry.kr;Ferry;Vacation
NA;Vacation_LDT_kr;train_bus.kr;Train Bus;Vacation
NA;Vacation_LDT_kr;travel.kr;Travel;Vacation
