"nr","deso","area","pop","density"
"762","0180C4040",1.31,2163,1651.14503816794
"763","0180C4050",0.24,1979,8245.83333333333
"764","0180C4060",0.54,2307,4272.22222222222
"765","0180C4070",0.15,1368,9120
"766","0180C4080",0.53,1538,2901.88679245283
"767","0180C4090",0.12,1385,11541.6666666667
"768","0180C4100",0.03,1328,44266.6666666667
"769","0180C4110",0.64,1738,2715.625
"770","0180C4120",0.06,1505,25083.3333333333
"771","0180C4130",0.06,1455,24250
"772","0180C4140",0.06,1851,30850
"773","0180C4150",0.04,1602,40050
"774","0180C4160",0.15,1389,9260
"775","0180C4170",0.05,1579,31580
"776","0180C4180",0.23,2032,8834.78260869565
"777","0180C4190",0.18,1543,8572.22222222222
"778","0180C4200",1.33,1707,1283.45864661654
"779","0180C4210",0.09,1679,18655.5555555556
"780","0180C4220",0.11,1729,15718.1818181818
"781","0180C4230",0.04,1498,37450
"782","0180C4240",0.06,1714,28566.6666666667
"783","0180C4250",0.07,1566,22371.4285714286
"784","0180C4260",0.31,1828,5896.77419354839
"785","0180C4270",0.11,1080,9818.18181818182
"786","0180C4280",0.1,2085,20850
"787","0180C4290",0.09,1887,20966.6666666667
"788","0180C4300",0.19,1718,9042.1052631579
"789","0180C4310",0.1,1836,18360
"790","0180C4320",0.2,1663,8315
"791","0180C4330",0.3,1552,5173.33333333333
"792","0180C4340",0.14,1466,10471.4285714286
"793","0180C4350",0.17,1416,8329.41176470588
"794","0180C4360",0.05,1889,37780
"795","0180C4370",0.08,1547,19337.5
"796","0180C4380",0.05,1764,35280
"797","0180C4390",0.46,1086,2360.86956521739
"798","0180C4400",0.12,1432,11933.3333333333
"799","0180C4410",0.05,1668,33360
"800","0180C4420",0.04,1288,32200
"801","0180C4430",0.11,1250,11363.6363636364
"802","0180C4440",0.18,1545,8583.33333333333
"803","0180C4450",0.13,1768,13600
"804","0180C4460",0.63,2491,3953.96825396825
"805","0180C4470",0.22,1975,8977.27272727273
"806","0180C4480",0.38,1503,3955.26315789474
"807","0180C4490",0.05,1765,35300
"808","0180C4500",0.1,1399,13990
"809","0180C4510",1.09,1660,1522.93577981651
"810","0180C4520",0.11,2131,19372.7272727273
"811","0180C4530",0.56,2591,4626.78571428571
"812","0180C4540",0.05,1353,27060
"813","0180C4550",0.07,1294,18485.7142857143
"814","0180C4560",0.06,1700,28333.3333333333
"815","0180C4570",0.44,1238,2813.63636363636
"816","0180C4580",0.11,2210,20090.9090909091
"817","0180C4590",0.24,1476,6150
"818","0180C4600",0.04,1754,43850
"819","0180C4610",0.06,1735,28916.6666666667
"820","0180C4620",0.13,1562,12015.3846153846
"821","0180C4630",0.24,1827,7612.5
"822","0180C4640",0.09,1866,20733.3333333333
"823","0180C4650",0.05,1458,29160
"824","0180C4660",0.03,1468,48933.3333333333
"825","0180C4670",0.26,1533,5896.15384615385
"826","0180C4680",0.06,1192,19866.6666666667
"827","0180C4690",0.05,1321,26420
"828","0180C4700",3.28,2600,792.682926829268
"829","0180C4710",0.15,2141,14273.3333333333
"830","0180C4720",0.06,1564,26066.6666666667
"831","0180C4730",0.04,1924,48100
"832","0180C4740",0.12,1553,12941.6666666667
"833","0180C4750",0.08,1341,16762.5
"834","0180C4760",0.07,1248,17828.5714285714
"835","0180C4770",0.27,1825,6759.25925925926
"836","0180C4780",0.04,1587,39675
"837","0180C4790",0.07,1561,22300
"838","0180C4800",0.06,1562,26033.3333333333
"839","0180C4810",0.05,1238,24760
"840","0180C4820",0.05,1668,33360
"841","0180C4830",0.06,1636,27266.6666666667
"842","0180C4840",0.07,1688,24114.2857142857
"843","0180C4850",0.04,1549,38725
"844","0180C4860",0.05,1967,39340
"845","0180C4870",0.09,1750,19444.4444444444
"846","0180C4880",0.07,1548,22114.2857142857
"847","0180C4890",0.06,1259,20983.3333333333
"848","0180C4900",0.14,1676,11971.4285714286
"849","0180C4910",0.08,1674,20925
"850","0180C4920",0.05,1664,33280
"851","0180C4930",0.26,1958,7530.76923076923
"852","0180C4940",0.21,2181,10385.7142857143
"853","0180C4950",0.19,1557,8194.73684210526
"854","0180C4960",0.05,1561,31220
"855","0180C4970",0.88,2139,2430.68181818182
"856","0180C4980",0.04,1002,25050
"857","0180C4990",0.11,1625,14772.7272727273
"858","0180C5000",0.05,1607,32140
"859","0180C5010",0.1,1798,17980
"860","0180C5020",0.07,1996,28514.2857142857
"861","0180C5030",0.05,1879,37580
"862","0180C5040",0.07,2025,28928.5714285714
"863","0180C5050",0.11,2153,19572.7272727273
"864","0180C5060",0.05,2257,45140
"865","0180C5070",0.06,1245,20750
