"nr","deso","area","pop","density"
"1230","0188B2030",3.16,2335,738.924050632911
"1231","0188B3010",6.08,1386,227.960526315789
"1232","0188B3020",2.51,1262,502.788844621514
"1233","0188B3030",6.75,1949,288.740740740741
"1234","0188B4010",11.33,1653,145.895851721094
"1235","0188B5010",16.48,1471,89.2597087378641
"1236","0188C1010",5.3,2570,484.905660377359
"1237","0188C1020",2.38,1622,681.512605042017
"1238","0188C1030",1.25,1736,1388.8
"1239","0188C1040",0.47,2027,4312.76595744681
"1240","0188C1050",0.52,2002,3850
"1241","0188C1060",0.95,4073,4287.36842105263
"1242","0188C1070",0.48,1226,2554.16666666667
"1243","0188C1080",2.29,2205,962.882096069869
"1244","0188C1090",2.55,1712,671.372549019608
"1245","0188C1100",3.21,2246,699.688473520249
"1246","0188C1110",3.49,2347,672.492836676218
"1247","0191A0010",66.25,1926,29.0716981132075
"1248","0191A0020",42.06,1898,45.1260104612458
"1249","0191A0030",74.16,1613,21.7502696871629
"1250","0191A0040",104.69,1253,11.9686694049097
"1251","0191B2010",1.2,2330,1941.66666666667
"1252","0191B2020",3.07,1238,403.257328990228
"1253","0191B2030",4.04,3027,749.257425742574
"1254","0191B2040",1.77,2212,1249.71751412429
"1255","0191B2050",1.63,1688,1035.58282208589
"1256","0191B3010",9.92,1928,194.354838709677
"1257","0191C1010",1.84,2427,1319.02173913043
"1258","0191C1020",1.57,2666,1698.08917197452
"1259","0191C1030",0.23,2213,9621.73913043478
"1260","0191C1040",0.35,2212,6320
"1261","0191C1050",0.33,2463,7463.63636363636
"1262","0191C1060",0.81,2718,3355.55555555556
"1263","0191C1070",0.75,2208,2944
"1264","0191C1080",5.16,4045,783.914728682171
"1265","0191C1090",0.46,2421,5263.04347826087
"1266","0191C1100",0.2,1748,8740
"1267","0191C1110",2.57,1864,725.291828793774
"1268","0191C1120",1.85,2256,1219.45945945946
"1269","0191C1130",0.51,2264,4439.21568627451
"1270","0191C1140",2.24,1911,853.125
"1271","0192A0010",129.66,1718,13.250038562394
"1272","0192A0020",73.4,2406,32.7792915531335
"1273","0192A0030",38.83,1668,42.9564769508112
"1274","0192A0040",87.92,2353,26.76296633303
"1275","0192B2010",6.41,2423,378.003120124805
"1276","0192B2020",1.49,1901,1275.8389261745
"1277","0192B3010",7.18,1367,190.389972144847
"1278","0192C1010",1.63,1242,761.963190184049
"1279","0192C1020",0.77,1392,1807.79220779221
"1280","0192C1030",0.98,1586,1618.36734693878
"1281","0192C1040",0.66,2037,3086.36363636364
"1282","0192C1050",0.19,1261,6636.84210526316
"1283","0192C1060",0.58,2096,3613.79310344828
"1284","0192C1070",0.83,2371,2856.6265060241
"1285","0192C1080",0.37,1152,3113.51351351351
"1286","0192C1090",0.79,2206,2792.40506329114
"1287","0192C1100",5.63,1132,201.065719360568
"1288","0305A0010",107.51,2797,26.0161845409729
"1289","0305B2010",7.62,2196,288.188976377953
"1290","0305C1010",9.65,3154,326.839378238342
"1291","0305C1020",4.98,1526,306.425702811245
"1292","0305C1030",2.15,3007,1398.60465116279
"1293","0305C1040",1.25,2199,1759.2
"1294","0305C1050",3.77,2378,630.769230769231
"1295","0305C1060",0.97,2647,2728.86597938144
"1296","0305C1070",1.3,1606,1235.38461538462
"1297","0305C1080",4.33,1464,338.10623556582
"1298","0319A0010",195.42,1615,8.26425135605363
"1299","0319B2010",8.45,1612,190.769230769231
"1300","0319C1010",6.49,1771,272.881355932203
"1301","0319C1020",5.91,2485,420.473773265651
"1302","0319C1030",5.25,2089,397.904761904762
"1303","0330A0010",73.06,1778,24.336162058582
"1304","0330A0020",110.08,2463,22.374636627907
"1305","0330A0030",78.08,1193,15.2792008196721
"1306","0330C1010",3.55,2113,595.211267605634
"1307","0330C1020",4.39,2337,532.346241457859
"1308","0330C1030",1.07,3550,3317.75700934579
"1309","0330C1040",1.71,1856,1085.38011695906
"1310","0330C1050",2.83,1477,521.908127208481
"1311","0330C1060",1.48,1495,1010.13513513514
"1312","0330C1070",6.08,2452,403.289473684211
"1313","0331A0010",135.41,1131,8.35241119562809
"1314","0331A0020",341.41,1767,5.17559532526874
"1315","0331A0030",155.79,1716,11.0148276526093
"1316","0331A0040",278.5,832,2.98743267504488
"1317","0331A0050",214.91,1008,4.69033548927458
"1318","0331B2010",10.29,1979,192.322643343052
"1319","0331B3010",6.41,1565,244.14976599064
"1320","0331B4010",8.19,1284,156.776556776557
"1321","0331C1010",7.97,1788,224.341279799247
"1322","0331C1020",7.85,1273,162.165605095541
"1323","0360A0010",116.62,1019,8.73778082661636
"1324","0360A0020",127.62,1311,10.272684532205
"1325","0360A0030",183.12,1348,7.36129314110965
"1326","0360A0040",269.67,1838,6.81573775355064
"1327","0360A0050",273.45,1722,6.29731212287438
"1328","0360A0060",278.77,1119,4.01406177135273
"1329","0360A0070",248.87,974,3.91368987824969
"1330","0360B2010",10.99,2482,225.841674249318
"1331","0360B3010",8.1,1646,203.20987654321
"1332","0360B4010",11.08,1310,118.231046931408
"1333","0360C1010",5.02,2902,578.087649402391
"1334","0360C1020",3.06,2032,664.052287581699
"1335","0360C1030",5.21,1490,285.988483685221
"1336","0380A0010",61.08,1821,29.8133595284872
"1337","0380A0020",171.42,2653,15.4766071636915
"1338","0380A0030",64.96,2615,40.2555418719212
"1339","0380A0040",105.22,2297,21.8304504846987
"1340","0380A0050",113.27,2079,18.354374503399
"1341","0380A0060",169.1,2094,12.3832052040213
"1342","0380A0070",136.37,1398,10.2515215956589
"1343","0380A0080",49.09,2236,45.5489916479935
"1344","0380A0090",94.01,1334,14.1899797893841
"1345","0380A0100",36.28,1289,35.529217199559
"1346","0380A0110",45.77,1152,25.169324885296
"1347","0380A0120",240.44,2467,10.2603560139744
"1348","0380A0130",222.51,1695,7.61763516246461
"1349","0380A0140",136.12,1729,12.7020276226859
"1350","0380A0150",183.48,2915,15.8872901678657
"1351","0380A0160",180.09,2555,14.1873507690599
"1352","0380B2010",1.64,1770,1079.26829268293
"1353","0380B2020",0.54,1102,2040.74074074074
"1354","0380B2030",4.48,1777,396.651785714286
"1355","0380B2040",3.02,1661,550
"1356","0380B3010",2.57,1416,550.972762645914
"1357","0380B3020",3.76,1136,302.127659574468
"1358","0380B3030",4.61,1464,317.570498915401
"1359","0380B4010",5.22,1772,339.463601532567
"1360","0380B4020",3.23,1760,544.891640866873
"1361","0380B5010",25.43,3136,123.318914667715
"1362","0380B6010",5.91,3107,525.719120135364
"1363","0380B7010",6.36,1421,223.427672955975
"1364","0380B8010",4.78,1312,274.476987447699
"1365","0380C1010",4.68,1098,234.615384615385
"1366","0380C1020",1.27,1447,1139.37007874016
"1367","0380C1030",0.76,1664,2189.47368421053
"1368","0380C1040",1.53,1618,1057.51633986928
"1369","0380C1050",4.67,2052,439.400428265525
"1370","0380C1060",0.76,1512,1989.47368421053
"1371","0380C1070",0.24,1634,6808.33333333333
"1372","0380C1080",1.36,1074,789.705882352941
"1373","0380C1090",0.32,974,3043.75
"1374","0380C1100",0.17,1496,8800
"1375","0380C1110",0.39,1626,4169.23076923077
"1376","0380C1120",2.44,890,364.754098360656
"1377","0380C1130",0.1,1344,13440
"1378","0380C1140",0.49,1620,3306.12244897959
"1379","0380C1150",0.18,1866,10366.6666666667
"1380","0380C1160",0.17,1889,11111.7647058824
"1381","0380C1170",0.29,1114,3841.37931034483
"1382","0380C1180",0.27,1380,5111.11111111111
"1383","0380C1190",0.28,1325,4732.14285714286
"1384","0380C1200",0.45,1187,2637.77777777778
"1385","0380C1210",3.67,3824,1041.96185286104
"1386","0380C1220",4.89,1399,286.094069529652
"1387","0380C1230",0.59,1539,2608.47457627119
"1388","0380C1240",0.55,1412,2567.27272727273
"1389","0380C1250",1.66,1640,987.951807228916
"1390","0380C1260",1.85,2945,1591.89189189189
"1391","0380C1270",1.41,886,628.368794326241
"1392","0380C1280",0.47,1088,2314.89361702128
"1393","0380C1290",2.95,1455,493.220338983051
"1394","0380C1300",1.2,1090,908.333333333333
"1395","0380C1310",0.14,1464,10457.1428571429
"1396","0380C1320",0.43,1635,3802.32558139535
"1397","0380C1330",2.89,3264,1129.41176470588
"1398","0380C1340",0.19,1417,7457.8947368421
"1399","0380C1350",2.29,4980,2174.67248908297
"1400","0380C1360",0.17,1511,8888.23529411765
"1401","0380C1370",1.96,1320,673.469387755102
"1402","0380C1380",0.12,1191,9925
"1403","0380C1390",0.44,1518,3450
"1404","0380C1400",10.99,2373,215.923566878981
"1405","0380C1410",0.68,1295,1904.41176470588
"1406","0380C1420",0.21,1418,6752.38095238095
"1407","0380C1430",0.12,1248,10400
"1408","0380C1440",0.26,835,3211.53846153846
"1409","0380C1450",1.3,1157,890
"1410","0380C1460",0.06,1045,17416.6666666667
"1411","0380C1470",1.71,2334,1364.91228070175
"1412","0380C1480",0.34,5163,15185.2941176471
"1413","0380C1490",0.65,1804,2775.38461538462
"1414","0380C1500",0.35,1177,3362.85714285714
"1415","0380C1510",2.69,1166,433.457249070632
"1416","0380C1520",0.12,1722,14350
"1417","0380C1530",0.18,1348,7488.88888888889
"1418","0380C1540",0.49,1314,2681.63265306122
"1419","0380C1550",0.11,1301,11827.2727272727
"1420","0380C1560",0.4,1833,4582.5
"1421","0380C1570",1.02,824,807.843137254902
"1422","0380C1580",0.14,1231,8792.85714285714
"1423","0380C1590",0.08,1491,18637.5
"1424","0380C1600",0.22,1504,6836.36363636364
"1425","0380C1610",0.2,1222,6110
"1426","0380C1620",0.15,1169,7793.33333333333
"1427","0380C1630",3.02,2202,729.139072847682
"1428","0380C1640",0.08,1292,16150
"1429","0380C1650",0.13,1226,9430.76923076923
"1430","0380C1660",0.11,1321,12009.0909090909
"1431","0380C1670",0.08,1211,15137.5
"1432","0380C1680",0.32,1411,4409.375
"1433","0380C1690",0.09,787,8744.44444444445
"1434","0380C1700",0.53,1335,2518.8679245283
"1435","0380C1710",0.13,1385,10653.8461538462
"1436","0380C1720",0.1,1469,14690
"1437","0380C1730",0.06,1176,19600
"1438","0380C1740",0.14,1544,11028.5714285714
"1439","0380C1750",0.24,1321,5504.16666666667
"1440","0380C1760",0.18,2013,11183.3333333333
"1441","0380C1770",0.08,859,10737.5
"1442","0380C1780",0.12,1184,9866.66666666667
"1443","0380C1790",0.22,1678,7627.27272727273
"1444","0380C1800",0.19,2044,10757.8947368421
"1445","0380C1810",0.2,1451,7255
"1446","0380C1820",0.18,1269,7050
"1447","0380C1830",0.17,2361,13888.2352941176
"1448","0380C1840",0.75,2020,2693.33333333333
"1449","0380C1850",0.05,822,16440
"1450","0380C1860",0.1,1716,17160
"1451","0380C1870",0.17,1194,7023.52941176471
"1452","0380C1880",0.15,1678,11186.6666666667
"1453","0380C1890",0.2,1496,7480
"1454","0380C1900",0.23,2450,10652.1739130435
"1455","0380C1910",0.19,836,4400
"1456","0380C1920",0.17,1370,8058.82352941176
"1457","0380C1930",0.12,1121,9341.66666666667
"1458","0380C1940",0.21,2902,13819.0476190476
"1459","0380C1950",0.12,952,7933.33333333333
"1460","0380C1960",0.15,1353,9020
"1461","0380C1970",0.16,1496,9350
"1462","0380C1980",0.33,1450,4393.93939393939
"1463","0380C1990",0.09,866,9622.22222222222
"1464","0380C2000",1.44,1493,1036.80555555556
"1465","0380C2010",0.09,2424,26933.3333333333
"1466","0380C2020",0.27,2360,8740.74074074074
"1467","0380C2030",0.15,1358,9053.33333333333
"1468","0380C2040",0.53,2497,4711.32075471698
"1469","0380C2050",0.39,1160,2974.35897435897
"1470","0380C2060",0.52,1365,2625
"1471","0380C2070",0.11,990,9000
"1472","0380C2080",0.26,1446,5561.53846153846
"1473","0380C2090",3.55,1856,522.816901408451
"1474","0380C2100",0.13,2553,19638.4615384615
"1475","0380C2110",1.17,1538,1314.52991452991
"1476","0380C2120",0.07,873,12471.4285714286
"1477","0380C2130",0.3,1026,3420
"1478","0380C2140",2.01,2403,1195.5223880597
"1479","0380C2150",0.28,1632,5828.57142857143
"1480","0380C2160",0.27,1176,4355.55555555556
"1481","0380C2170",2.23,1001,448.878923766816
"1482","0380C2180",0.47,1425,3031.91489361702
"1483","0380C2190",0.49,1274,2600
"1484","0380C2200",0.19,2070,10894.7368421053
"1485","0380C2210",5.5,1623,295.090909090909
"1486","0381A0010",177.22,2487,14.0334048075838
"1487","0381A0020",63.13,1159,18.3589418659908
"1488","0381A0030",73.1,922,12.6128590971272
"1489","0381A0040",61.18,1015,16.5903890160183
"1490","0381A0050",115.53,2113,18.2896217432701
"1491","0381A0060",109.34,1454,13.2979696359978
"1492","0381A0070",201.5,2468,12.2481389578164
"1493","0381A0080",152.56,1711,11.2152595700052
"1494","0381A0090",172.88,1961,11.3431281813975
"1495","0381B2010",7.75,2019,260.516129032258
"1496","0381B3010",10.17,2269,223.107177974435
"1497","0381B4010",5.28,1211,229.356060606061
"1498","0381B5010",4.37,957,218.993135011442
"1499","0381C1010",4.4,1988,451.818181818182
"1500","0381C1020",3.54,2302,650.282485875706
"1501","0381C1030",0.6,2145,3575
"1502","0381C1040",1.67,2659,1592.21556886228
"1503","0381C1050",1.04,2684,2580.76923076923
"1504","0381C1060",0.34,1868,5494.11764705882
"1505","0381C1070",0.64,2497,3901.5625
"1506","0381C1080",5.93,2557,431.197301854975
"1507","0381C1090",0.62,2006,3235.48387096774
"1508","0381C1100",0.53,1805,3405.66037735849
"1509","0381C1110",2.51,1796,715.537848605578
"1510","0381C1120",2.45,2239,913.877551020408
"1511","0382A0010",213.05,1888,8.86176953766721
"1512","0382A0020",339.22,1389,4.09468781321856
"1513","0382A0030",270.25,1132,4.18871415356152
"1514","0382A0040",325.46,1380,4.24015239968045
"1515","0382A0050",266.97,1511,5.65981196389107
"1516","0382B2010",4.47,1012,226.398210290828
"1517","0382B2020",5.98,1822,304.682274247492
"1518","0382B3010",6.49,1641,252.850539291217
"1519","0382B3020",5.75,1121,194.95652173913
"1520","0382B4010",3.72,1273,342.204301075269
"1521","0382B4020",10.31,1327,128.709990300679
"1522","0382B5010",7.59,1603,211.198945981555
"1523","0382C1010",5.56,2167,389.748201438849
"1524","0382C1020",7.19,1452,201.947148817802
"1525","0382C1030",0.94,1454,1546.8085106383
"1526","0428A0010",141.79,1169,8.24458706537838
"1527","0428A0020",45.67,1335,29.2314429603679
"1528","0428A0030",166.95,1794,10.7457322551662
"1529","0428C1010",4.52,902,199.557522123894
"1530","0428C1020",3.23,1443,446.749226006192
"1531","0428C1030",8.16,2213,271.200980392157
"1532","0461A0010",97.62,1032,10.5716041794714
"1533","0461A0020",92.14,1434,15.5632732797916
"1534","0461A0030",94.82,927,9.77641847711453
"1535","0461A0040",167.63,1643,9.80134820736145
"1536","0461C1010",1.85,2067,1117.2972972973
"1537","0461C1020",1.41,1777,1260.28368794326
"1538","0461C1030",2.36,877,371.610169491525
"1539","0461C1040",3.26,1763,540.79754601227
"1540","0480A0010",100.93,789,7.81729911820073
"1541","0480A0020",80.21,1195,14.8983917217305
"1542","0480A0030",109.19,1508,13.8107885337485
"1543","0480A0040",158.19,1291,8.16107212845313
"1544","0480A0050",123.72,1329,10.7419980601358
"1545","0480A0060",133.55,1065,7.9745413702733
"1546","0480A0070",276.66,2252,8.13995517964288
"1547","0480A0080",190.84,1895,9.92978411234542
"1548","0480A0090",180.29,1429,7.92611903045094
"1549","0480B2010",5.22,1211,231.992337164751
"1550","0480B2020",5.76,1313,227.951388888889
"1551","0480B3010",7.02,2015,287.037037037037
"1552","0480B4010",9.92,940,94.758064516129
"1553","0480C1010",7.96,3548,445.72864321608
"1554","0480C1020",0.36,1480,4111.11111111111
"1555","0480C1030",3.99,1158,290.225563909774
"1556","0480C1040",1.49,2409,1616.77852348993
"1557","0480C1050",0.72,1892,2627.77777777778
"1558","0480C1060",1.16,2867,2471.55172413793
"1559","0480C1070",0.63,2274,3609.52380952381
"1560","0480C1080",0.29,1408,4855.1724137931
"1561","0480C1090",4.83,2306,477.432712215321
"1562","0480C1100",0.47,1649,3508.51063829787
"1563","0480C1110",0.44,2240,5090.90909090909
"1564","0480C1120",0.79,2133,2700
"1565","0480C1130",3.77,1640,435.013262599469
"1566","0480C1140",1.74,2413,1386.7816091954
"1567","0480C1150",0.78,2401,3078.20512820513
"1568","0480C1160",0.46,2452,5330.4347826087
"1569","0480C1170",0.67,969,1446.26865671642
"1570","0480C1180",0.62,1974,3183.87096774194
"1571","0480C1190",6.57,2755,419.330289193303
"1572","0481C1010",14.74,2017,136.838534599729
"1573","0481C1020",0.78,2046,2623.07692307692
"1574","0481C1030",1.56,1767,1132.69230769231
"1575","0481C1040",0.32,1715,5359.375
"1576","0481C1050",1.39,1383,994.964028776978
"1577","0481C1060",1.09,1678,1539.4495412844
"1578","0481C1070",14.41,1500,104.094378903539
"1579","0482A0010",204.59,1625,7.94271469768806
"1580","0482A0020",179.62,1714,9.542367219686
"1581","0482A0030",298.01,1611,5.40585886379652
"1582","0482B2010",6.1,2025,331.967213114754
"1583","0482B3010",9.5,1557,163.894736842105
"1584","0482C1010",5.32,989,185.902255639098
"1585","0482C1020",0.77,2260,2935.06493506494
"1586","0482C1030",2.55,1238,485.490196078431
"1587","0482C1040",2.98,1840,617.44966442953
"1588","0482C1050",8.97,809,90.1895206243032
"1589","0483A0010",192.34,1463,7.60632213788084
"1590","0483A0020",185.83,1732,9.3203465533014
"1591","0483A0030",71.13,917,12.8918880922255
"1592","0483A0040",228,1737,7.61842105263158
"1593","0483A0050",161.72,1650,10.2028196883502
"1594","0483A0060",151.33,1274,8.41868763629155
"1595","0483B2010",5.52,1493,270.471014492754
"1596","0483C1010",2.95,1098,372.203389830508
"1597","0483C1020",1.39,1526,1097.84172661871
"1598","0483C1030",1.14,1695,1486.84210526316
"1599","0483C1040",0.72,1765,2451.38888888889
"1600","0483C1050",0.32,1535,4796.875
"1601","0483C1060",3.97,2357,593.702770780856
"1602","0483C1070",3.5,1031,294.571428571429
"1603","0483C1080",0.33,2299,6966.66666666667
"1604","0483C1090",1.16,1768,1524.13793103448
"1605","0483C1100",0.23,1761,7656.52173913043
"1606","0483C1110",1.92,2373,1235.9375
"1607","0483C1120",0.19,1522,8010.52631578947
"1608","0483C1130",0.18,1741,9672.22222222222
"1609","0483C1140",6.17,1587,257.212317666126
"1610","0484A0010",200.17,1598,7.98321426787231
"1611","0484A0020",122.54,919,7.49959196996899
"1612","0484A0030",172.31,1568,9.09987812663223
"1613","0484A0040",55.33,1354,24.4713536960058
"1614","0484A0050",175.14,2180,12.4471851090556
"1615","0484A0060",115.16,2538,22.0389023966655
"1616","0484A0070",112.26,1441,12.8362729378229
"1617","0484B2010",12.18,1545,126.847290640394
"1618","0484B3010",8.5,1289,151.647058823529
"1619","0484B4010",7.99,1249,156.320400500626
"1620","0484B5010",7.01,953,135.948644793153
"1621","0484C1010",4.16,1543,370.913461538462
"1622","0484C1020",3.99,1642,411.528822055138
"1623","0484C1030",9.23,2757,298.699891657638
"1624","0484C1040",3.68,1832,497.826086956522
"1625","0484C1050",2.5,1876,750.4
"1626","0484C1060",2.8,1661,593.214285714286
"1627","0484C1070",1.32,1982,1501.51515151515
"1628","0484C1080",0.68,1575,2316.17647058824
"1629","0484C1090",0.52,2152,4138.46153846154
"1630","0484C1100",0.2,1375,6875
"1631","0484C1110",0.28,2070,7392.85714285714
"1632","0484C1120",0.46,1457,3167.39130434783
"1633","0484C1130",0.34,1804,5305.88235294118
"1634","0484C1140",1.92,1767,920.3125
"1635","0484C1150",0.16,1424,8900
"1636","0484C1160",8.29,2073,250.060313630881
"1637","0484C1170",0.16,1574,9837.5
"1638","0484C1180",0.27,1573,5825.92592592593
"1639","0484C1190",0.1,1388,13880
"1640","0484C1200",0.25,1543,6172
"1641","0484C1210",1.18,2003,1697.45762711864
"1642","0484C1220",0.08,2014,25175
"1643","0484C1230",0.24,1055,4395.83333333333
"1644","0484C1240",0.27,1615,5981.48148148148
"1645","0484C1250",0.72,1431,1987.5
"1646","0484C1260",0.2,1592,7960
"1647","0484C1270",0.37,1875,5067.56756756757
"1648","0484C1280",7.72,1821,235.880829015544
"1649","0484C1290",0.11,1500,13636.3636363636
"1650","0484C1300",1.11,2067,1862.16216216216
"1651","0484C1310",0.18,1892,10511.1111111111
"1652","0484C1320",1.2,2127,1772.5
"1653","0484C1330",0.84,1849,2201.19047619048
"1654","0484C1340",0.38,3514,9247.36842105263
"1655","0484C1350",1.16,2123,1830.1724137931
"1656","0484C1360",0.13,1387,10669.2307692308
"1657","0484C1370",0.61,1168,1914.75409836066
"1658","0484C1380",2.88,1763,612.152777777778
"1659","0484C1390",0.91,1601,1759.34065934066
"1660","0484C1400",3.48,1755,504.310344827586
"1661","0484C1410",1.7,1631,959.411764705882
"1662","0484C1420",4.8,1665,346.875
"1663","0484C1430",3.72,1786,480.10752688172
"1664","0484C1440",2.39,2113,884.100418410042
"1665","0484C1450",2.28,1673,733.771929824561
"1666","0484C1460",1.72,1784,1037.20930232558
"1667","0484C1470",2.84,1741,613.028169014084
"1668","0484C1480",0.5,1443,2886
"1669","0484C1490",11.75,2892,246.127659574468
"1670","0484C1500",14.76,2886,195.528455284553
"1671","0486A0010",95.39,2415,25.3171191948842
"1672","0486A0020",92.38,770,8.33513747564408
"1673","0486A0030",80.44,1132,14.0726006961711
"1674","0486A0040",87.91,1367,15.5499943123649
"1675","0486A0050",63.51,1119,17.6192725555031
"1676","0486A0060",96.21,711,7.39008419083255
"1677","0486A0070",95.8,1560,16.2839248434238
"1678","0486A0080",72.17,1370,18.9829569073022
"1679","0486B2010",1.95,1360,697.435897435897
"1680","0486B2020",1.88,1486,790.425531914894
"1681","0486B2030",4.38,1585,361.872146118721
"1682","0486B3010",4.45,1514,340.224719101124
"1683","0486B3020",7.54,1512,200.53050397878
"1684","0486B4010",3.76,1446,384.574468085106
"1685","0486B4020",8.68,1055,121.543778801843
"1686","0486C1010",9.02,1444,160.088691796009
"1687","0486C1020",1.36,1854,1363.23529411765
"1688","0486C1030",0.86,2228,2590.6976744186
"1689","0486C1040",1,1869,1869
"1690","0486C1050",0.65,1806,2778.46153846154
"1691","0486C1060",0.21,1791,8528.57142857143
"1692","0486C1070",0.59,1731,2933.89830508475
"1693","0486C1080",2.82,2586,917.021276595745
"1694","0486C1090",6.05,3206,529.917355371901
"1695","0488A0010",132.3,1622,12.260015117158
"1696","0488A0020",48.14,1106,22.9746572496884
"1697","0488B2010",2.16,1788,827.777777777778
"1698","0488B2020",3.77,1313,348.275862068966
"1699","0488B2030",3.73,1076,288.471849865952
"1700","0488C1010",4.37,2479,567.276887871854
"1701","0488C1020",4.59,1822,396.949891067538
"1702","0488C1030",9.61,3679,382.830385015609
"1703","0509A0010",289.24,1225,4.2352371732817
"1704","0509A0020",135.5,1333,9.83763837638376
"1705","0509C1010",4.38,1128,257.534246575342
"1706","0509C1020",4.95,1593,321.818181818182
"1707","0512A0010",466.52,1259,2.69870530738232
"1708","0512A0020",202.19,1505,7.44349374350858
"1709","0512C1010",6.63,873,131.674208144796
"1710","0513A0010",449.17,1117,2.4868090032727
"1711","0513A0020",411.61,1413,3.43286120356648
"1712","0513A0030",246.82,1278,5.17786240985333
"1713","0513B2010",7.6,1135,149.342105263158
"1714","0513B2020",1.85,1233,666.486486486486
"1715","0513C1010",3.98,1397,351.005025125628
"1716","0513C1020",5.76,862,149.652777777778
"1717","0513C1030",2.58,1557,603.488372093023
"1718","0560A0010",512.34,2105,4.10859975797322
"1719","0560C1010",6.77,1912,282.422451994092
"1720","0560C1020",6.63,1506,227.149321266968
"1721","0561A0010",253.88,1124,4.42728848274775
"1722","0561A0020",221.24,900,4.06798047369373
"1723","0561A0030",188.08,884,4.70012760527435
"1724","0561B2010",6.37,1193,187.284144427002
"1725","0561C1010",2.09,1343,642.583732057416
"1726","0561C1020",3.64,1293,355.21978021978
"1727","0561C1030",1.19,1747,1468.06722689076
"1728","0561C1040",7.58,1438,189.709762532982
"1729","0561C1050",2.51,1538,612.749003984064
"1730","0562A0010",121.6,971,7.98519736842105
"1731","0562A0020",133.8,1385,10.3512705530643
"1732","0562A0030",163.4,1735,10.6181150550796
"1733","0562A0040",111.79,983,8.79327310135075
"1734","0562A0050",233.01,1511,6.48470022745805
"1735","0562A0060",264.99,1104,4.16619495075286
"1736","0562C1010",7.97,1585,198.870765370138
"1737","0562C1020",2,1512,756
"1738","0562C1030",2.77,2047,738.98916967509
"1739","0562C1040",3.07,1621,528.013029315961
"1740","0562C1050",1.45,1382,953.103448275862
"1741","0562C1060",2.63,1840,699.619771863118
"1742","0562C1070",2.16,1896,877.777777777778
"1743","0562C1080",4.62,2122,459.307359307359
"1744","0563A0010",259.07,886,3.41992511676381
"1745","0563A0020",177.65,788,4.43568815085843
"1746","0563A0030",279.83,1832,6.54683200514598
"1747","0563B2010",5.86,1130,192.832764505119
"1748","0563C1010",6.4,1687,263.59375
"1749","0563C1020",4.73,1218,257.505285412262
"1750","0580A0010",304.36,2576,8.46366145354186
"1751","0580A0020",65.74,2012,30.6054152722848
"1752","0580A0030",119.6,2014,16.8394648829431
"1753","0580A0040",94.09,808,8.58752258475927
"1754","0580A0050",97.63,1893,19.3895319061764
"1755","0580A0060",80.79,1791,22.1685852209432
"1756","0580A0070",80.92,1385,17.1156697973307
"1757","0580A0080",40.67,1067,26.235554462749
"1758","0580A0090",53.56,1696,31.6654219566841
"1759","0580A0100",78.33,1332,17.0049789352738
"1760","0580A0110",46.07,1188,25.7868461037552
"1761","0580A0120",108.5,1201,11.0691244239631
"1762","0580A0130",120.12,900,7.49250749250749
"1763","0580B2010",4.98,1384,277.911646586345
"1764","0580B2020",1.96,1778,907.142857142857
"1765","0580B2030",2.42,1788,738.842975206612
"1766","0580B2040",1.87,1732,926.20320855615
"1767","0580B2050",6.49,2123,327.118644067797
"1768","0580B3010",2.93,1828,623.890784982935
"1769","0580B3020",4.75,1416,298.105263157895
"1770","0580B4010",3.56,1906,535.393258426966
"1771","0580B4020",6.68,1306,195.508982035928
"1772","0580B5010",5.66,2938,519.081272084806
"1773","0580B6010",4.71,1203,255.414012738854
"1774","0580B6020",1.85,2295,1240.54054054054
"1775","0580C1010",3.06,2294,749.673202614379
"1776","0580C1020",1.94,2440,1257.73195876289
"1777","0580C1030",0.93,1331,1431.18279569892
"1778","0580C1040",1.31,1296,989.312977099237
"1779","0580C1050",0.53,1763,3326.41509433962
"1780","0580C1060",11.64,1003,86.1683848797251
"1781","0580C1070",0.52,1494,2873.07692307692
"1782","0580C1080",0.76,1594,2097.36842105263
"1783","0580C1090",0.47,1658,3527.65957446809
"1784","0580C1100",1.17,1386,1184.61538461538
"1785","0580C1110",0.59,2430,4118.64406779661
"1786","0580C1120",0.77,1563,2029.87012987013
"1787","0580C1130",0.73,1767,2420.54794520548
"1788","0580C1140",4.82,1630,338.174273858921
"1789","0580C1150",0.55,1849,3361.81818181818
"1790","0580C1160",0.89,1865,2095.50561797753
"1791","0580C1170",0.42,1744,4152.38095238095
"1792","0580C1180",0.61,1469,2408.19672131148
"1793","0580C1190",0.98,3323,3390.81632653061
"1794","0580C1200",0.66,1605,2431.81818181818
"1795","0580C1210",0.62,1561,2517.74193548387
"1796","0580C1220",0.24,1924,8016.66666666667
"1797","0580C1230",1.92,4000,2083.33333333333
"1798","0580C1240",0.44,1542,3504.54545454545
"1799","0580C1250",0.22,1972,8963.63636363636
"1800","0580C1260",0.2,1345,6725
"1801","0580C1270",0.96,1419,1478.125
"1802","0580C1280",0.39,1310,3358.97435897436
"1803","0580C1290",0.44,1844,4190.90909090909
"1804","0580C1300",0.58,1798,3100
"1805","0580C1310",2.55,4043,1585.49019607843
"1806","0580C1320",0.6,1847,3078.33333333333
"1807","0580C1330",0.37,1542,4167.56756756757
"1808","0580C1340",0.36,2713,7536.11111111111
"1809","0580C1350",0.21,1504,7161.90476190476
